# period  BIC_array
5.622115759404090474e-01 -9.649634213492618073e+00
5.623185567465122103e-01 -9.771390244597000674e+00
5.624255782741928167e-01 -9.843993232764432832e+00
5.625326405467057089e-01 -9.770426271452720357e+00
5.626397435873237152e-01 -9.452200502527148274e+00
5.627468874193374271e-01 -9.010737475519590589e+00
5.628540720660550889e-01 -8.789029940444947897e+00
5.629612975508024864e-01 -8.946806653251201169e+00
5.630685638969236129e-01 -9.265435643558362244e+00
5.631758711277798923e-01 -9.530971107348022997e+00
5.632832192667507343e-01 -9.703328005388129895e+00
5.633906083372333118e-01 -9.701289959433438526e+00
5.634980383626428946e-01 -9.403661562531510754e+00
5.636055093664120719e-01 -8.930610934481592267e+00
5.637130213719917515e-01 -8.653724264569405022e+00
5.638205744028507160e-01 -8.786117914072519852e+00
5.639281684824755114e-01 -9.150624480802093785e+00
5.640358036343707804e-01 -9.491665246149409541e+00
5.641434798820588181e-01 -9.702112347382580992e+00
5.642511972490801275e-01 -9.690057979489779427e+00
5.643589557589931971e-01 -9.357800645528413952e+00
5.644667554353745009e-01 -8.836685899049371073e+00
5.645745963018183877e-01 -8.495438682452231660e+00
5.646824783819374138e-01 -8.570066468460595388e+00
5.647904016993620102e-01 -8.926480500737397961e+00
5.648983662777409265e-01 -9.309736750898309765e+00
5.650063721407407868e-01 -9.557171627071397779e+00
5.651144193120464232e-01 -9.501584562285188440e+00
5.652225078153606530e-01 -9.033291726405650479e+00
5.653306376744045014e-01 -8.361730623341600221e+00
5.654388089129174233e-01 -7.968198001684299925e+00
5.655470215546565260e-01 -8.083602595276488501e+00
5.656552756233975687e-01 -8.510483578553248663e+00
5.657635711429341852e-01 -9.014548063971005831e+00
5.658719081370784387e-01 -9.393767449888400733e+00
5.659802866296606005e-01 -9.366412043911964247e+00
5.660887066445291493e-01 -8.869189974254709341e+00
5.661971682055508825e-01 -8.287276918885822852e+00
5.663056713366109163e-01 -8.071282337094771719e+00
5.664142160616125743e-01 -8.277670957847362843e+00
5.665228024044774990e-01 -8.703836613122575727e+00
5.666314303891459847e-01 -9.209223986372876425e+00
5.667401000395762001e-01 -9.619162164968088291e+00
5.668488113797451877e-01 -9.694596617678257644e+00
5.669575644336480869e-01 -9.429093396167559149e+00
5.670663592252984664e-01 -9.100885501789093723e+00
5.671751957787284359e-01 -8.981922274898920477e+00
5.672840741179884239e-01 -9.089749827759305845e+00
5.673929942671476212e-01 -9.296665982544141116e+00
5.675019562502935377e-01 -9.511876271679852834e+00
5.676109600915318909e-01 -9.699036128665397882e+00
5.677200058149872719e-01 -9.840487544430402522e+00
5.678290934448029237e-01 -9.906104037464388057e+00
5.679382230051402969e-01 -9.829156558495355966e+00
5.680473945201796049e-01 -9.528443984100817943e+00
5.681566080141197128e-01 -9.057535347817065485e+00
5.682658635111779155e-01 -8.702821964394274801e+00
5.683751610355902706e-01 -8.653433005468514239e+00
5.684845006116114874e-01 -8.805364373832276215e+00
5.685938822635150380e-01 -9.043694928614854689e+00
5.687033060155927133e-01 -9.338351325925373203e+00
5.688127718921553999e-01 -9.449278380259443111e+00
5.689222799175325251e-01 -8.993166582279968679e+00
5.690318301160722791e-01 -8.104847125131755092e+00
5.691414225121417259e-01 -7.557005214402238380e+00
5.692510571301264699e-01 -7.676131755495248399e+00
5.693607339944311008e-01 -8.067251177036041554e+00
5.694704531294788596e-01 -8.473062528518767067e+00
5.695802145597119726e-01 -8.886442538758728915e+00
5.696900183095915393e-01 -8.946043658330836479e+00
5.697998644035973115e-01 -8.258988654084987502e+00
5.699097528662281364e-01 -7.277236057543177594e+00
5.700196837220016244e-01 -6.901179219730238401e+00
5.701296569954543703e-01 -7.248600167449467335e+00
5.702396727111419539e-01 -7.824252055253055005e+00
5.703497308936388288e-01 -8.354101529230206324e+00
5.704598315675384335e-01 -8.773723677140992550e+00
5.705699747574531910e-01 -8.752233517391914575e+00
5.706801604880146206e-01 -8.194308164683775431e+00
5.707903887838733370e-01 -7.522368782088960870e+00
5.709006596696987179e-01 -7.293998881526135847e+00
5.710109731701793478e-01 -7.646919355433510646e+00
5.711213293100230182e-01 -8.287855355439091909e+00
5.712317281139565051e-01 -8.879353016645154639e+00
5.713421696067257916e-01 -9.208949343903100271e+00
5.714526538130958455e-01 -9.194421414404359894e+00
5.715631807578508417e-01 -8.905570411276585219e+00
5.716737504657943836e-01 -8.532659845308103286e+00
5.717843629617489487e-01 -8.284414150196198534e+00
5.718950182705564433e-01 -8.290847443732445754e+00
5.720057164170776476e-01 -8.557207855880506031e+00
5.721164574261932145e-01 -8.965086147849660847e+00
5.722272413228024490e-01 -9.308151073150156662e+00
5.723380681318244179e-01 -9.391379013111873064e+00
5.724489378781971727e-01 -9.175266319661432135e+00
5.725598505868781940e-01 -8.793839782550890050e+00
5.726708062828445023e-01 -8.383912609450248965e+00
5.727818049910921028e-01 -8.004475040162787991e+00
5.728928467366365407e-01 -7.808922145896872280e+00
5.730039315445131232e-01 -8.043817965478069709e+00
5.731150594397759201e-01 -8.621010568305109700e+00
5.732262304474990966e-01 -8.997506841510926279e+00
5.733374445927756913e-01 -8.824293476300113070e+00
5.734487019007186159e-01 -8.414688467352107182e+00
5.735600023964602112e-01 -8.161597001096197346e+00
5.736713461051522467e-01 -7.979168993711027724e+00
5.737827330519661428e-01 -7.830541374323388482e+00
5.738941632620925271e-01 -8.094316905761047565e+00
5.740056367607421217e-01 -8.788251111094155021e+00
5.741171535731448561e-01 -9.220023877831181380e+00
5.742287137245504214e-01 -9.034594942614035062e+00
5.743403172402281598e-01 -8.740674820387994259e+00
5.744519641454669534e-01 -8.681765971086861100e+00
5.745636544655754463e-01 -8.649325352072992246e+00
5.746753882258819335e-01 -8.666888466426144078e+00
5.747871654517344719e-01 -9.022610521514820903e+00
5.748989861685007696e-01 -9.502315422674996626e+00
5.750108504015681854e-01 -9.655771054572710455e+00
5.751227581763440622e-01 -9.492640706344559476e+00
5.752347095182553938e-01 -9.368349229133627887e+00
5.753467044527490470e-01 -9.383532249343488729e+00
5.754587430052916508e-01 -9.430335306822144048e+00
5.755708252013695958e-01 -9.527134455394161705e+00
5.756829510664892569e-01 -9.700081330089915355e+00
5.757951206261769928e-01 -9.851103763663900281e+00
5.759073339059788132e-01 -9.912101210472087587e+00
5.760195909314608231e-01 -9.897030511540947373e+00
