date keplerian stellar stellar+keplerian GP_variance
9053.82801321 -1.91925203 1.02822881 -0.89102322 4.59249889
9053.94088863 -3.75754807 1.17184036 -2.58570771 4.60250955
9054.05376404 -1.75535890 1.30455994 -0.45079896 4.60706010
9054.16663945 2.04093369 1.42548842 3.46642211 4.60664830
9054.27951486 3.75124482 1.53377780 5.28502263 4.60189841
9054.39239027 1.62751312 1.62864021 3.25615334 4.59354390
9054.50526568 -2.15965440 1.70935728 -0.45029712 4.58240730
9054.61814109 -3.73949932 1.77528988 -1.96420944 4.56937686
9054.73101650 -1.49730617 1.82588819 0.32858202 4.55538057
9054.84389191 2.27524190 1.86070179 4.13594370 4.54135749
9054.95676732 3.72232862 1.87938981 5.60171842 4.52822735
9055.06964273 1.36492695 1.88173079 3.24665774 4.51685916
9055.18251814 -2.38752853 1.86763224 -0.51989629 4.50804019
9055.29539355 -3.69975761 1.83713942 -1.86261820 4.50244678
9055.40826896 -1.23056751 1.79044336 0.55987584 4.50061859
9055.52114437 2.49635136 1.72788779 4.22423915 4.50293805
9055.63401978 3.67181905 1.64997469 5.32179374 4.50961623
9055.74689519 1.09442279 1.55736834 2.65179113 4.52068641
9055.85977060 -2.60155252 1.45089764 -1.15065488 4.53600548
9055.97264601 -3.63855347 1.33155640 -2.30699707 4.55526335
9056.08552142 -0.95669029 1.20050164 0.24381135 4.57799938
9056.19839683 2.70297939 1.05904954 3.76202893 4.60362467
9056.31127224 3.60000913 0.90866903 4.50867816 4.63144865
9056.42414765 0.81756984 0.75097293 1.56854276 4.66070815
9056.53702306 -2.80048481 0.58770655 -2.21277826 4.69059745
9056.64989847 -3.55624195 0.42073383 -3.13550812 4.72029776
9056.76277388 -0.67726327 0.25202082 -0.42524244 4.74900487
9056.87564929 2.89392734 0.08361686 2.97754420 4.77595430
9056.98852470 3.50731543 -0.08236668 3.42494876 4.80044321
9057.10140011 0.53597414 -0.24377982 0.29219432 4.82184874
9057.21427552 -2.98317139 -0.39845940 -3.38163079 4.83964283
9057.32715093 -3.45330055 -0.54425627 -3.99755682 4.85340327
9057.44002634 -0.39390742 -0.67906392 -1.07297135 4.86282129
9057.55290175 3.06808751 -0.80084829 2.26723922 4.86770569
9057.66577716 3.39427567 -0.90767823 2.48659744 4.86798374
9057.77865257 0.25126923 -0.99775630 -0.74648707 4.86369888
9057.89152798 -3.14855249 -1.06944944 -4.21800192 4.85500554
9058.00440339 -3.33032643 -1.12131878 -4.45164520 4.84216100
9058.11727880 -0.10826650 -1.15214837 -1.26041487 4.82551470
9058.23015421 3.22444960 -1.16097197 2.06347762 4.80549501
9058.34302962 3.26154559 -1.14709748 2.11444811 4.78259380
9058.45590503 -0.03489330 -1.11012833 -1.14502163 4.75734915
9058.56878044 -3.29566872 -1.04998132 -4.34565004 4.73032668
9058.68165585 -3.18803296 -0.96690036 -4.15493332 4.70209992
9058.79453126 0.17800247 -0.86146557 -0.68346310 4.67323060
9058.90740667 3.36210654 -0.73459728 2.62750925 4.64424938
9059.02028208 3.10989517 -0.58755468 2.52234049 4.61563812
